Mon Feb 26 04:47:53 UTC 2018
TimeStramp,ECG,SpO2,Respiration
04:47:54,-52588.625,3454.75,-16790.25
04:47:54,-52301.5625,3496.9375,-16430.5
04:47:54,-52015.0,3502.3125,-16247.0
04:47:54,-51663.375,3585.5,-15905.0
04:47:54,-51312.1875,3549.0,-15608.125
04:47:54,-50961.4375,3623.625,-15349.125
04:47:54,-50611.3125,3548.625,-15110.25
04:47:54,-50261.5625,3653.625,-14870.0
04:47:54,-49912.25,3622.875,-14601.0
04:47:54,-49563.375,3650.5,-14375.5
04:47:54,-49149.5,3632.5,-14081.875
04:47:54,-48801.75,3685.0,-13836.5
04:47:54,-48388.9375,3649.9375,-13521.0
04:47:54,-48042.0625,3741.125,-13235.5
04:47:54,-47630.25,3765.625,-12967.0
04:47:54,-47218.875,3838.4375,-12595.75
04:47:54,-46808.0,3909.5,-12257.625
04:47:54,-46463.125,4009.0,-11962.875
04:47:54,-46053.25,4094.5625,-11672.625
04:47:54,-45644.0,4137.625,-11422.625
04:47:54,-45235.1875,4161.125,-11179.0
04:47:54,-44892.25,4115.125,-11056.125
04:47:54,-44484.4375,4164.4375,-10848.5
04:47:54,-44142.5,4106.5,-10791.5
04:47:54,-43735.6875,4040.875,-11033.875
04:47:54,-43329.4375,3840.125,-11539.875
04:47:54,-42989.0,3582.0625,-12385.875
04:47:54,-42649.0625,3302.625,-13711.75
04:47:54,-42309.5625,2757.375,-15845.625
04:47:54,-41970.625,1876.25,-19310.125
04:47:54,-41632.0,969.5,-23534.5
04:47:54,-41359.25,68.1875,-27129.375
04:47:54,-41021.5625,-634.0625,-29631.125
04:47:54,-40749.75,-1043.5,-31290.375
04:47:54,-40478.25,-1225.375,-32274.25
04:47:54,-40141.625,-1310.0,-32608.5
04:47:54,-39936.375,-1326.1875,-32669.75
04:47:54,-39666.0,-1315.0625,-32414.875
04:47:54,-39395.9375,-1139.9375,-32017.375
04:47:54,-39191.625,-993.5,-31568.375
04:47:54,-38922.1875,-878.125,-30932.0
04:47:54,-38718.5,-700.625,-30406.0
04:47:54,-38515.125,-564.9375,-29887.0
04:47:54,-38311.875,-480.1875,-29435.375
04:47:54,-38108.9375,-332.25,-28882.25
04:47:54,-37971.75,-291.0625,-28433.625
04:47:54,-37769.1875,-189.9375,-27941.5
04:47:54,-37632.3125,-54.625,-27460.75
04:47:54,-37430.1875,-38.1875,-27021.875
04:47:54,-37293.625,70.375,-26586.125
04:47:54,-37157.1875,71.0625,-26195.375
