ECG,SpO2,Respiration
-35317.75,391.5625,-23322.625
-35181.625,489.8125,-23139.625
-35045.3125,602.75,-22875.875
-34843.5,658.25,-22575.0
-34641.8125,667.5,-22250.375
-34440.0625,725.4375,-21972.625
-34238.3125,767.1875,-21616.125
-34036.5625,864.625,-21262.625
-33900.5,968.8125,-20858.25
-33698.75,878.25,-20593.25
-33497.0625,909.0,-20208.5
-33230.0,1019.8125,-19811.5
-33028.375,1048.9375,-19547.0
-32761.4375,1078.375,-19184.0
-32429.0625,1076.25,-18993.375
-32227.9375,1095.625,-18748.125
-31961.375,1076.25,-18394.75
-31629.625,1160.1875,-18080.0
-31232.5,1191.4375,-17825.375
-30966.75,1229.6875,-17501.625
-30701.125,1274.5,-17216.75
-30370.3125,1216.5,-17020.0
-29974.375,1313.9375,-16730.5
-29709.6875,1290.625,-16353.875
-29248.9375,1446.5625,-16027.875
-28854.125,1501.875,-15792.25
-28590.75,1599.5625,-15404.75
-28196.75,1692.4375,-15094.75
-27737.75,1741.5,-14752.25
-27410.1875,1827.875,-14517.0
-27017.5625,1913.5625,-14136.125
-26560.0625,1933.4375,-13824.25
-26234.125,1994.5625,-13433.375
-25843.1875,2039.9375,-13220.0
-25387.375,2004.6875,-12882.75
-24997.6875,2062.6875,-12653.5
-24608.625,2110.8125,-12297.75
-24220.0625,1998.4375,-12176.25
-23766.625,2088.25,-11878.0
-23379.375,2195.375,-11614.25
-22992.75,2264.8125,-11260.875
-22606.6875,2316.375,-10982.0
-22221.25,2323.3125,-10662.0
-21836.5,2354.1875,-10335.5
-21452.3125,2299.625,-10093.625
-21134.25,2229.25,-9880.0
-20751.125,2361.9375,-9645.75
-20434.0625,2319.875,-9601.375
-20117.5625,2236.0625,-9486.875
-19801.625,2112.8125,-9704.625
-19486.0,1988.625,-10028.0
-19170.9375,1837.875,-10704.75
-18856.3125,1401.5,-11890.0
-18607.5625,832.75,-13933.125
-18359.125,-91.9375,-17723.25
-18110.9375,-1058.6875,-22009.625
-17928.625,-1769.3125,-25646.75
-17680.9375,-2359.625,-28314.75
-17564.4375,-2589.625,-29999.0
-17382.5625,-2733.5625,-30985.875
-17200.8125,-2757.875,-31381.0
-17084.625,-2685.125,-31257.5
-16968.4375,-2644.8125,-31079.125
-16852.125,-2618.375,-30723.75
-16801.3125,-2556.0,-30262.875
-16684.875,-2350.0625,-29810.0
-16633.75,-2255.25,-29318.75
-16647.75,-2171.6875,-28881.5
-16596.0625,-2089.25,-28364.5
-16609.5625,-2010.125,-27926.625
-16557.125,-1930.0625,-27496.125
-16569.75,-1847.25,-27030.625
-16647.5625,-1787.75,-26653.875
-16659.3125,-1706.1875,-26136.875
-16736.125,-1633.875,-25663.375
-16812.4375,-1504.0,-25215.5
-16888.0625,-1480.25,-24768.25
-16963.1875,-1430.75,-24381.0
-17103.125,-1314.375,-24005.25
-17177.0,-1351.1875,-23674.0
-17315.5625,-1203.0625,-23318.5
-17453.4375,-1160.0625,-23093.375
-17590.6875,-1156.1875,-22868.5
-17727.1875,-1131.1875,-22758.375
-17862.9375,-1044.0625,-22722.625
-18063.5625,-964.1875,-22678.75
-18197.9375,-989.8125,-22657.625
-18397.0625,-1065.4375,-22710.875
-18529.9375,-1082.8125,-22671.875
-18727.6875,-1073.0625,-22677.5
-18924.75,-1122.0,-22530.25
-19055.625,-1030.0,-22340.0
-19120.375,-1061.6875,-22200.5
-19315.5,-1005.5625,-21939.25
-19444.5625,-997.125,-21699.375
-19573.0625,-979.625,-21398.125
-19701.0625,-893.1875,-20917.0
-19828.4375,-878.8125,-20680.875
-19889.8125,-769.5,-20316.25
-20016.3125,-776.375,-19930.875
-20142.5,-697.75,-19579.125
-20268.125,-629.5,-19225.5
-20393.4375,-591.0,-18852.125
-20452.9375,-560.25,-18408.25
-20446.75,-539.4375,-18097.875
-20571.25,-431.75,-17773.75
-20630.0625,-347.125,-17342.0
-20623.0,-269.625,-17036.875
-20616.0625,-243.25,-16748.125
-20674.375,-166.75,-16399.625
-20667.1875,-114.3125,-16144.25
-20725.25,5.125,-15889.0
-20717.75,-32.125,-15666.0
-20710.1875,22.375,-15434.375
-20637.1875,66.4375,-15111.25
-20629.625,103.25,-14888.5
-20556.5625,146.75,-14647.625
-20549.125,104.3125,-14469.125
-20476.125,82.4375,-14243.625
-20403.25,79.25,-13978.75
-20330.4375,25.75,-13886.125
-20257.6875,65.5625,-13582.75
-20119.4375,-35.25,-13388.125
-20046.875,-22.25,-13215.125
-19909.0625,-62.875,-13109.125
-19836.75,-52.8125,-12920.5
-19764.5,-71.25,-12805.625
-19626.8125,-115.5625,-12633.875
-19489.4375,-166.125,-12536.75
-19417.5625,-167.5,-12451.125
-19280.25,-215.125,-12296.625
-19208.5625,-204.0625,-12097.375
-19071.5,-86.125,-11842.125
-18934.5625,-39.75,-11631.375
-18797.8125,34.3125,-11440.625
-18726.625,31.6875,-11161.25
-18590.0625,70.9375,-11021.5
-18453.5625,20.5,-10734.375
-18382.6875,35.875,-10732.875
-18246.4375,-84.125,-10815.625
-18175.75,-301.5625,-11230.125
-18039.6875,-410.5,-11815.125
-17969.1875,-766.5625,-13076.0
-17898.6875,-1274.8125,-15314.875
-17828.1875,-2220.6875,-19306.875
-17757.8125,-3367.5,-23762.375
-17622.0625,-4214.8125,-27366.625
-17551.75,-4877.5625,-30040.5
-17481.5625,-5328.0625,-31844.625
-17476.8125,-5525.75,-32801.75
-17406.5625,-5636.6875,-33320.75
-17401.875,-5707.8125,-33485.75
-17397.125,-5734.375,-33341.125
-17326.875,-5619.125,-33294.125
-17322.1875,-5621.0,-32970.375
